Issue DT,Expire DT,Temperature Min,Temperature Max,Temperature Avg,Wind Spd Min,Wind Spd Max,Wind Spd Avg,Visibility Min,Visibility Max,Visibility Avg,Had Snowfall,counties
2012-12-19 21:00,2012-12-20 11:53,21.69,35.64,31.42,33.5317306,77.21916879999999,53.11,0.249791142,3.999765127,0.95,True,"['NEZ053', 'NEZ066', 'NEZ034', 'NEZ051', 'NEZ052', 'NEZ050', 'NEZ065', 'NEZ078', 'NEZ088', 'NEZ089', 'NEZ033', 'NEZ044', 'NEZ045']"
2016-02-02 06:00,2016-02-03 09:35,26.8,37.0,33.37,31.0263578,74.5572102,56.27,0.249791142,6.21371,3.19,True,"['NEZ015', 'NEZ018', 'NEZ032', 'NEZ033', 'NEZ034']"
2016-02-02 03:00,2016-02-03 09:35,26.8,37.0,33.58,31.0263578,74.5572102,54.86,0.249791142,6.21371,3.37,True,"['NEZ030', 'NEZ031', 'NEZ042', 'NEZ050', 'NEZ065', 'NEZ012', 'NEZ011', 'NEZ016', 'NEZ017', 'NEZ043', 'NEZ044']"
2018-01-22 00:00,2018-01-23 03:05,30.0,39.33,34.83,18.007367000000006,77.21916879999999,42.65,0.499582284,6.21371,2.37,True,"['NEZ032', 'NEZ012', 'NEZ011', 'NEZ018', 'NEZ030', 'NEZ016', 'NEZ031', 'NEZ017', 'NEZ042']"
2018-01-22 09:00,2018-01-23 03:05,30.0,37.47,33.41,18.007367000000006,77.21916879999999,46.38,0.499582284,6.21371,2.38,True,"['NEZ066', 'NEZ078', 'NEZ065']"
2018-01-22 06:00,2018-01-23 03:05,30.0,37.6,33.98,18.007367000000006,77.21916879999999,45.29,0.499582284,6.21371,2.81,True,"['NEZ033', 'NEZ015', 'NEZ045', 'NEZ050', 'NEZ034', 'NEZ043', 'NEZ044', 'NEZ051']"
2018-03-05 12:00,2018-03-06 21:04,26.26,46.83,34.32,33.5317306,77.21916879999999,57.33,0.499582284,6.21371,3.73,True,"['NEZ012', 'NEZ011']"
2018-04-14 09:00,2018-04-15 02:44,28.11,39.69,34.29,30.869772000000005,64.5580884,51.39,0.249791142,6.21371,2.98,True,"['NEZ015', 'NEZ033', 'NEZ050', 'NEZ043']"
2018-04-14 09:00,2018-04-14 19:06,33.39,39.69,37.11,30.869772000000005,62.0527156,49.56,0.249791142,6.21371,4.16,True,['NEZ065']
2018-04-14 00:00,2018-04-15 02:44,28.11,59.77,37.35,30.869772000000005,64.5580884,48.95,0.249791142,6.21371,3.66,True,"['NEZ011', 'NEZ016']"
2018-04-14 03:00,2018-04-15 02:44,28.11,49.87,36.03,30.869772000000005,64.5580884,50.24,0.249791142,6.21371,3.47,True,"['NEZ012', 'NEZ017', 'NEZ030', 'NEZ031']"
2018-04-14 06:00,2018-04-15 02:44,28.11,44.71,34.98,30.869772000000005,64.5580884,50.41,0.249791142,6.21371,3.24,True,"['NEZ018', 'NEZ032', 'NEZ042']"
2018-11-25 08:00,2018-11-25 21:26,25.07,33.39,29.12,38.63195380000001,82.5654554,57.89,0.499582284,6.21371,4.37,True,[]
2018-11-25 10:00,2018-11-25 21:26,25.07,30.69,28.34,46.52835200000001,82.5654554,61.71,0.499582284,6.21371,4.74,True,"['NEZ068', 'NEZ089', 'NEZ090']"
2018-11-25 08:00,2018-11-25 17:42,26.26,33.39,29.96,38.63195380000001,82.5654554,57.53,0.499582284,6.21371,3.91,True,"['NEZ067', 'NEZ078', 'NEZ065', 'NEZ066']"
2018-11-25 10:00,2018-11-25 17:42,26.26,30.69,29.2,46.52835200000001,82.5654554,62.51,0.499582284,6.21371,4.25,True,['NEZ088']
2018-11-25 10:00,2018-11-26 00:00,25.07,30.69,28.13,44.0453486,82.5654554,61.03,0.499582284,6.21371,4.9,True,"['NEZ093', 'NEZ091', 'NEZ092']"
2019-02-23 18:00,2019-02-24 03:56,23.63,33.21,30.53,41.182065400000006,77.21916879999999,53.3,0.249791142,0.999785939,0.59,True,"['NEZ089', 'NEZ044', 'NEZ043', 'NEZ050', 'NEZ051', 'NEZ065', 'NEZ033', 'NEZ066', 'NEZ078', 'NEZ088']"
2019-02-23 22:05,2019-02-24 03:56,23.63,30.61,27.59,59.18943240000001,77.21916879999999,63.62,0.249791142,0.999785939,0.47,True,['NEZ042']
2019-02-23 18:00,2019-02-24 09:00,18.99,33.21,28.58,41.182065400000006,77.21916879999999,53.86,0.249791142,5.999958376,1.39,True,"['NEZ067', 'NEZ053', 'NEZ090', 'NEZ091', 'NEZ092', 'NEZ093', 'NEZ052', 'NEZ034', 'NEZ045', 'NEZ015', 'NEZ068']"
2019-04-11 06:00,2019-04-12 01:12,35.73,50.97,42.78,28.520985000000003,59.18943240000001,47.27,6.21371,6.21371,6.21,True,"['NEZ011', 'NEZ016']"
2020-12-23 12:00,2020-12-24 00:14,17.24,44.47,26.14,56.54984320000001,74.5572102,63.34,0.500203655,6.21371,3.15,True,"['NEZ042', 'NEZ043', 'NEZ012', 'NEZ015', 'NEZ016', 'NEZ017', 'NEZ018', 'NEZ030', 'NEZ031', 'NEZ032', 'NEZ033', 'NEZ034', 'NEZ011']"
2021-01-15 06:00,2021-01-15 21:00,28.74,33.04,30.12,62.0527156,80.06008259999999,69.64,0.500203655,6.21371,1.15,True,"['NEZ066', 'NEZ090', 'NEZ092', 'NEZ044', 'NEZ045', 'NEZ052', 'NEZ053', 'NEZ034', 'NEZ067', 'NEZ068', 'NEZ091', 'NEZ093', 'NEZ043', 'NEZ051']"
2021-01-15 00:00,2021-01-15 21:00,28.74,38.03,31.33,59.18943240000001,80.06008259999999,69.34,0.500203655,6.21371,2.32,True,"['NEZ032', 'NEZ018', 'NEZ011', 'NEZ012', 'NEZ015', 'NEZ033', 'NEZ017', 'NEZ031']"
